estacion,fecha,merra2_temp
Cotocollao,2011-06-02,17.10512950000002
Cotocollao,2011-06-03,16.498634625000022
Cotocollao,2011-06-04,17.102136208333352
Cotocollao,2011-06-05,17.715297875000026
Cotocollao,2011-06-06,17.141699750000026
Cotocollao,2011-06-07,17.68857600000003
Cotocollao,2011-06-08,17.64408525000002
Cotocollao,2011-06-09,17.67071933333336
Cotocollao,2011-06-10,18.434167541666692
Cotocollao,2011-06-11,18.226771333333357
Cotocollao,2011-06-12,17.912549708333362
Cotocollao,2011-06-13,18.03920129166669
Cotocollao,2011-06-14,18.243946416666688
Cotocollao,2011-06-15,17.895427958333354
Cotocollao,2011-06-16,17.460792875000028
Cotocollao,2011-06-17,17.333463375000022
Cotocollao,2011-06-18,17.29055941666669
Cotocollao,2011-06-19,17.192718750000022
Cotocollao,2011-06-20,18.005672708333353
Cotocollao,2011-06-21,17.761796666666683
Cotocollao,2011-06-22,17.488126416666685
Cotocollao,2011-06-23,17.257830500000015
Cotocollao,2011-06-24,16.941888416666693
Cotocollao,2011-06-25,16.886522000000024
Cotocollao,2011-06-26,17.89496641666669
Cotocollao,2011-06-27,18.081505125000024
Cotocollao,2011-06-28,17.351108791666686
Cotocollao,2011-06-29,17.50471783333336
Cotocollao,2011-06-30,17.273336041666692
Cotocollao,2011-07-01,18.01415020833335
Cotocollao,2011-07-02,17.08476662500002
Cotocollao,2011-07-03,17.4976796666667
Cotocollao,2011-07-04,17.148405958333356
Cotocollao,2011-07-05,17.223223541666687
Cotocollao,2011-07-06,16.937656541666687
Cotocollao,2011-07-07,17.54837825000002
Cotocollao,2011-07-08,17.669890208333353
Cotocollao,2011-07-09,17.26803366666669
Cotocollao,2011-07-10,17.13215666666669
Cotocollao,2011-07-11,16.849054000000024
Cotocollao,2011-07-12,16.37416862500002
Cotocollao,2011-07-13,15.689567875000023
Cotocollao,2011-07-14,15.802395000000018
Cotocollao,2011-07-15,15.679302458333355
Cotocollao,2011-07-16,17.106478625000026
Cotocollao,2011-07-17,17.030179708333353
Cotocollao,2011-07-18,17.185183416666693
Cotocollao,2011-07-19,17.099932625000015
Cotocollao,2011-07-20,17.849518041666684
Cotocollao,2011-07-21,17.90054466666669
Cotocollao,2011-07-22,17.65391191666669
Cotocollao,2011-07-23,17.77230216666669
Cotocollao,2011-07-24,17.756138083333358
Cotocollao,2011-07-25,17.36486454166669
Cotocollao,2011-07-26,17.589607458333358
Cotocollao,2011-07-27,16.955143208333364
Cotocollao,2011-07-28,16.509734083333356
Cotocollao,2011-07-29,16.183020541666693
Cotocollao,2011-07-30,15.993742875000024
Cotocollao,2011-07-31,16.805422708333356
Cotocollao,2011-08-01,17.033792041666693
Cotocollao,2011-08-02,17.759734041666693
Cotocollao,2011-08-03,17.100408125000026
Cotocollao,2011-08-04,18.443784333333355
Cotocollao,2011-08-05,18.159399875000023
Cotocollao,2011-08-06,17.77374025000002
Cotocollao,2011-08-07,17.530970500000027
Cotocollao,2011-08-08,18.331390708333355
Cotocollao,2011-08-09,17.79272745833336
Cotocollao,2011-08-10,17.500627166666685
Cotocollao,2011-08-11,17.402195250000023
Cotocollao,2011-08-12,17.16328712500002
Cotocollao,2011-08-13,17.368802708333355
Cotocollao,2011-08-14,17.68702345833335
Cotocollao,2011-08-15,17.533225041666686
Cotocollao,2011-08-16,17.20331716666669
Cotocollao,2011-08-17,17.421966791666687
Cotocollao,2011-08-18,17.126639250000025
Cotocollao,2011-08-19,17.198580708333356
Cotocollao,2011-08-20,17.27049400000002
Cotocollao,2011-08-21,17.352215041666685
Cotocollao,2011-08-22,17.227829166666687
Cotocollao,2011-08-23,17.20490412500003
Cotocollao,2011-08-24,17.102189541666693
Cotocollao,2011-08-25,18.12636208333335
Cotocollao,2011-08-26,17.951748208333356
Cotocollao,2011-08-27,17.20715600000003
Cotocollao,2011-08-28,17.296239500000024
Cotocollao,2011-08-29,17.477028166666692
Cotocollao,2011-08-30,17.637026791666692
Cotocollao,2011-08-31,17.75642041666669
Cotocollao,2011-09-01,17.649748708333362
Cotocollao,2011-09-02,17.437706166666683
Cotocollao,2011-09-03,17.28526450000002
Cotocollao,2011-09-04,17.125707208333356
Cotocollao,2011-09-05,17.736702291666692
Cotocollao,2011-09-06,17.200999208333357
Cotocollao,2011-09-07,17.623770708333357
Cotocollao,2011-09-08,16.909271541666687
Cotocollao,2011-09-09,16.903755375000017
Cotocollao,2011-09-10,16.914102083333358
Cotocollao,2011-09-11,17.649636958333357
Cotocollao,2011-09-12,18.029789291666688
Cotocollao,2011-09-13,18.081358750000025
Cotocollao,2011-09-14,18.134973208333353
Cotocollao,2011-09-15,17.615193875000028
Cotocollao,2011-09-16,17.532159333333354
Cotocollao,2011-09-17,17.405107000000022
Cotocollao,2011-09-18,17.276551791666687
Cotocollao,2011-09-19,17.611464375000022
Cotocollao,2011-09-20,17.51597483333336
Cotocollao,2011-09-21,17.683287583333357
Cotocollao,2011-09-22,18.054457666666693
Cotocollao,2011-09-23,17.855745000000027
Cotocollao,2011-09-24,17.60730387500002
Cotocollao,2011-09-25,17.867358125000024
Cotocollao,2011-09-26,18.213686875000022
Cotocollao,2011-09-27,18.24231362500002
Cotocollao,2011-09-28,17.865041333333355
Cotocollao,2011-09-29,17.41432729166669
Cotocollao,2011-09-30,17.803940083333355
Cotocollao,2011-10-01,17.67663091666669
Cotocollao,2011-10-02,17.35307329166669
Cotocollao,2011-10-03,17.05482633333336
Cotocollao,2011-10-04,16.536921333333357
Cotocollao,2011-10-05,17.157679541666685
Cotocollao,2011-10-06,17.340502625000024
Cotocollao,2011-10-07,17.18687841666669
Cotocollao,2011-10-08,17.37211508333335
Cotocollao,2011-10-09,17.24033254166669
Cotocollao,2011-10-10,16.682937875000025
Cotocollao,2011-10-11,16.352633375000025
Cotocollao,2011-10-12,16.121685250000024
Cotocollao,2011-10-13,16.32631329166669
Cotocollao,2011-10-14,15.788943291666689
Cotocollao,2011-10-15,15.682242375000023
Cotocollao,2011-10-16,15.507390625000022
Cotocollao,2011-10-17,15.39204304166669
Cotocollao,2011-10-18,15.505726125000026
Cotocollao,2011-10-19,15.43801129166669
Cotocollao,2011-10-20,15.550214458333349
Cotocollao,2011-10-21,16.127353875000026
Cotocollao,2011-10-22,15.49586375000002
Cotocollao,2011-10-23,15.620799000000028
Cotocollao,2011-10-24,16.063505958333355
Cotocollao,2011-10-25,15.845932375000027
Cotocollao,2011-10-26,16.952949708333353
Cotocollao,2011-10-27,16.92853570833336
Cotocollao,2011-10-28,16.706764541666686
Cotocollao,2011-10-29,17.026689208333355
Cotocollao,2011-10-30,16.979024625000026
Cotocollao,2011-10-31,17.065382833333352
Cotocollao,2011-11-01,17.419524166666694
Cotocollao,2011-11-02,17.48357425000002
Cotocollao,2011-11-03,17.21904400000003
Cotocollao,2011-11-04,17.35186162500002
Cotocollao,2011-11-05,17.573883208333356
Cotocollao,2011-11-06,17.101056750000023
Cotocollao,2011-11-07,16.252267458333357
Cotocollao,2011-11-08,16.131855291666685
Cotocollao,2011-11-09,16.555482458333362
Cotocollao,2011-11-10,16.927888416666693
Cotocollao,2011-11-11,16.359672750000026
Cotocollao,2011-11-12,15.79745641666669
Cotocollao,2011-11-13,16.570265625000022
Cotocollao,2011-11-14,16.75907920833335
Cotocollao,2011-11-15,16.43996587500002
Cotocollao,2011-11-16,17.31254354166668
Cotocollao,2011-11-17,17.097666708333357
Cotocollao,2011-11-18,16.363502791666686
Cotocollao,2011-11-19,15.716502208333353
Cotocollao,2011-11-20,15.896450291666696
Cotocollao,2011-11-21,16.410861000000025
Cotocollao,2011-11-22,16.20987733333336
Cotocollao,2011-11-23,16.08994437500002
Cotocollao,2011-11-24,16.77541250000002
Cotocollao,2011-11-25,16.43911008333336
Cotocollao,2011-11-26,16.53486275000002
Cotocollao,2011-11-27,16.234005208333354
Cotocollao,2011-11-28,15.83974862500002
Cotocollao,2011-11-29,16.250965375000018
Cotocollao,2011-11-30,16.649938250000027
Cotocollao,2011-12-01,16.170831291666683
Cotocollao,2011-12-02,16.106479916666686
Cotocollao,2011-12-03,16.479353875000026
Cotocollao,2011-12-04,16.535796125000022
Cotocollao,2011-12-05,16.25036008333335
Cotocollao,2011-12-06,16.366840625000023
Cotocollao,2011-12-07,16.283303833333356
Cotocollao,2011-12-08,16.460519416666692
Cotocollao,2011-12-09,16.46728166666669
Cotocollao,2011-12-10,16.469972125000023
Cotocollao,2011-12-11,16.905784791666687
Cotocollao,2011-12-12,15.993315583333363
Cotocollao,2011-12-13,16.336845583333364
Cotocollao,2011-12-14,16.38679141666669
Cotocollao,2011-12-15,15.97641908333336
Cotocollao,2011-12-16,15.604230416666693
Cotocollao,2011-12-17,16.595894083333363
Cotocollao,2011-12-18,16.226196666666688
Cotocollao,2011-12-19,16.219595875000024
Cotocollao,2011-12-20,16.745113625000027
Cotocollao,2011-12-21,17.229573875000025
Cotocollao,2011-12-22,16.96121362500002
Cotocollao,2011-12-23,16.90002600000002
Cotocollao,2011-12-24,16.755962625000027
Cotocollao,2011-12-25,17.557600875000027
Cotocollao,2011-12-26,17.565252000000026
Cotocollao,2011-12-27,17.42191587500003
Cotocollao,2011-12-28,17.512225000000022
Cotocollao,2011-12-29,17.828843708333363
Cotocollao,2011-12-30,17.690300250000018
Cotocollao,2011-12-31,18.000146500000017
Cotocollao,2012-01-01,17.77140195833336
Cotocollao,2012-01-02,17.868071625000024
Cotocollao,2012-01-03,16.401325541666687
Cotocollao,2012-01-04,16.60454595833336
Cotocollao,2012-01-05,15.864670083333356
Cotocollao,2012-01-06,16.333675666666693
Cotocollao,2012-01-07,16.48181687500002
Cotocollao,2012-01-08,15.92045370833335
Cotocollao,2012-01-09,16.644645958333353
Cotocollao,2012-01-10,16.621065958333357
Cotocollao,2012-01-11,17.57395070833336
Cotocollao,2012-01-12,17.312175916666693
Cotocollao,2012-01-13,16.80082212500003
Cotocollao,2012-01-14,16.985075875000017
Cotocollao,2012-01-15,16.28413158333336
Cotocollao,2012-01-16,17.099281541666684
Cotocollao,2012-01-17,16.63982550000002
Cotocollao,2012-01-18,16.36290258333335
Cotocollao,2012-01-19,16.25656525000002
Cotocollao,2012-01-20,15.631740791666681
Cotocollao,2012-01-21,15.649083666666696
Cotocollao,2012-01-22,16.006845083333353
Cotocollao,2012-01-23,16.11679479166669
Cotocollao,2012-01-24,15.181408166666692
Cotocollao,2012-01-25,16.066064458333354
Cotocollao,2012-01-26,15.68284625000002
Cotocollao,2012-01-27,16.08695616666669
Cotocollao,2012-01-28,16.203663125000023
Cotocollao,2012-01-29,16.306769333333357
Cotocollao,2012-01-30,16.255178166666692
Cotocollao,2012-01-31,15.975715958333359
Cotocollao,2012-02-01,15.956234208333356
Cotocollao,2012-02-02,16.439575500000025
Cotocollao,2012-02-03,16.960112541666692
Cotocollao,2012-02-04,17.522721916666686
Cotocollao,2012-02-05,17.232586125000026
Cotocollao,2012-02-06,16.94468208333336
Cotocollao,2012-02-07,17.28078354166669
Cotocollao,2012-02-08,17.235481500000024
Cotocollao,2012-02-09,17.333390708333365
Cotocollao,2012-02-10,16.708814166666684
Cotocollao,2012-02-11,15.877070333333355
Cotocollao,2012-02-12,16.256386041666683
Cotocollao,2012-02-13,16.281057041666696
Cotocollao,2012-02-14,17.05838037500002
Cotocollao,2012-02-15,15.675384750000022
Cotocollao,2012-02-16,16.234709583333355
Cotocollao,2012-02-17,15.482830250000026
Cotocollao,2012-02-18,15.677430750000022
Cotocollao,2012-02-19,15.07924933333335
Cotocollao,2012-02-20,15.033399291666688
Cotocollao,2012-02-21,16.079530208333356
Cotocollao,2012-02-22,15.537541916666692
Cotocollao,2012-02-23,15.520988708333354
Cotocollao,2012-02-24,16.37208579166669
Cotocollao,2012-02-25,15.980153541666695
Cotocollao,2012-02-26,15.426574958333356
Cotocollao,2012-02-27,16.177077208333355
Cotocollao,2012-02-28,15.994882250000027
Cotocollao,2012-02-29,16.942201208333362
Cotocollao,2012-03-01,17.052575750000024
Cotocollao,2012-03-02,16.884446666666694
Cotocollao,2012-03-03,17.39103608333335
Cotocollao,2012-03-04,17.17533391666669
Cotocollao,2012-03-05,16.816045416666693
Cotocollao,2012-03-06,17.524472875000026
Cotocollao,2012-03-07,17.970541958333353
Cotocollao,2012-03-08,17.284909791666692
Cotocollao,2012-03-09,17.65248012500003
Cotocollao,2012-03-10,16.715219125000022
Cotocollao,2012-03-11,17.56891529166669
Cotocollao,2012-03-12,17.83238754166669
Cotocollao,2012-03-13,18.05361200000002
Cotocollao,2012-03-14,18.175907416666686
Cotocollao,2012-03-15,18.423619833333355
Cotocollao,2012-03-16,17.872893208333355
Cotocollao,2012-03-17,17.156315083333357
Cotocollao,2012-03-18,17.193278291666683
Cotocollao,2012-03-19,16.799272166666686
Cotocollao,2012-03-20,17.040411958333358
Cotocollao,2012-03-21,17.09462762500002
Cotocollao,2012-03-22,17.119135833333356
Cotocollao,2012-03-23,17.537550833333352
Cotocollao,2012-03-24,17.025638833333357
Cotocollao,2012-03-25,16.94338637500002
Cotocollao,2012-03-26,17.34766804166669
Cotocollao,2012-03-27,17.087266583333356
Cotocollao,2012-03-28,17.46519495833336
Cotocollao,2012-03-29,17.762760333333357
Cotocollao,2012-03-30,18.034810666666687
Cotocollao,2012-03-31,17.962595958333363
Cotocollao,2012-04-01,17.55222087500002
Cotocollao,2012-04-02,17.880152583333356
Cotocollao,2012-04-03,17.789069041666686
Cotocollao,2012-04-04,17.47845741666669
Cotocollao,2012-04-05,17.41054812500002
Cotocollao,2012-04-06,16.646727541666685
Cotocollao,2012-04-07,16.88078075000002
Cotocollao,2012-04-08,16.35630187500003
Cotocollao,2012-04-09,16.94007383333336
Cotocollao,2012-04-10,16.70458500000002
Cotocollao,2012-04-11,16.68116783333336
Cotocollao,2012-04-12,16.619409208333355
Cotocollao,2012-04-13,17.245654000000023
Cotocollao,2012-04-14,16.938843083333364
Cotocollao,2012-04-15,17.257861041666683
Cotocollao,2012-04-16,16.59862416666669
Cotocollao,2012-04-17,17.13881325000003
Cotocollao,2012-04-18,17.17334266666669
Cotocollao,2012-04-19,17.445280791666693
Cotocollao,2012-04-20,17.274491875000024
Cotocollao,2012-04-21,16.704689333333352
Cotocollao,2012-04-22,17.250140125000026
Cotocollao,2012-04-23,17.92424537500002
Cotocollao,2012-04-24,16.797663583333353
Cotocollao,2012-04-25,17.864783250000023
Cotocollao,2012-04-26,17.418035083333354
Cotocollao,2012-04-27,17.35468704166669
Cotocollao,2012-04-28,16.77814250000002
Cotocollao,2012-04-29,17.669072750000023
Cotocollao,2012-04-30,16.843289958333347
Cotocollao,2012-05-01,16.64428987500002
Cotocollao,2012-05-02,17.55540991666669
Cotocollao,2012-05-03,18.033471708333355
Cotocollao,2012-05-04,17.62076091666669
Cotocollao,2012-05-05,17.477155291666687
Cotocollao,2012-05-06,17.450638000000026
Cotocollao,2012-05-07,17.461681583333355
Cotocollao,2012-05-08,18.047001083333356
Cotocollao,2012-05-09,17.00154641666668
Cotocollao,2012-05-10,17.803829458333357
Cotocollao,2012-05-11,17.59451316666669
Cotocollao,2012-05-12,17.366157791666684
Cotocollao,2012-05-13,17.45363887500002
Cotocollao,2012-05-14,17.477318041666692
Cotocollao,2012-05-15,17.76682062500002
Cotocollao,2012-05-16,17.57473025000002
Cotocollao,2012-05-17,17.05745083333336
Cotocollao,2012-05-18,17.338965291666693
Cotocollao,2012-05-19,17.081643750000016
Cotocollao,2012-05-20,17.241175583333355
Cotocollao,2012-05-21,17.40631766666669
Cotocollao,2012-05-22,16.757455375000024
Cotocollao,2012-05-23,17.59532691666669
Cotocollao,2012-05-24,17.81402233333336
Cotocollao,2012-05-25,17.51344191666669
