estacion,fecha,obs_temp,n_horas_validas
Belisario,2006-08-02,14.3395833333333,24
Belisario,2006-08-03,14.0416666666667,24
Belisario,2006-08-04,15.00875,24
Belisario,2006-08-05,14.72375,24
Belisario,2006-08-06,14.2816666666667,24
Belisario,2006-08-07,14.1540909090909,22
Belisario,2006-08-08,14.76125,24
Belisario,2006-08-09,14.8466666666667,24
Belisario,2006-08-10,15.2141666666667,24
Belisario,2006-08-11,15.3879166666667,24
Belisario,2006-08-12,14.77375,24
Belisario,2006-08-13,16.0025,24
Belisario,2006-08-14,16.03125,24
Belisario,2006-08-15,14.41125,24
Belisario,2006-08-16,13.7708333333333,24
Belisario,2006-08-17,13.83375,24
Belisario,2006-08-18,13.7920833333333,24
Belisario,2006-08-19,14.9475,24
Belisario,2006-08-20,15.02,24
Belisario,2006-08-21,14.7634782608696,23
Belisario,2006-08-22,15.4179166666667,24
Belisario,2006-08-23,13.91,24
Belisario,2006-08-24,14.2645833333333,24
Belisario,2006-08-25,13.8495652173913,23
Belisario,2006-08-26,13.9025,24
Belisario,2006-08-27,11.5725,24
Belisario,2006-08-28,14.8979166666667,24
Belisario,2006-08-29,15.6654166666667,24
Belisario,2006-08-30,14.0983333333333,24
Belisario,2006-08-31,14.8095833333333,24
Belisario,2006-09-01,13.9633333333333,24
Belisario,2006-09-02,13.8558333333333,24
Belisario,2006-09-03,13.5458333333333,24
Belisario,2006-09-04,13.4975,24
Belisario,2006-09-05,14.395,24
Belisario,2006-09-06,14.81625,24
Belisario,2006-09-07,14.3104166666667,24
Belisario,2006-09-08,14.725,24
Belisario,2006-09-09,14.68375,24
Belisario,2006-09-10,14.2354166666667,24
Belisario,2006-09-11,12.6858333333333,24
Belisario,2006-09-12,13.7208333333333,24
Belisario,2006-09-13,14.0325,24
Belisario,2006-09-14,14.0904166666667,24
Belisario,2006-09-15,14.64875,24
Belisario,2006-09-16,14.2704166666667,24
Belisario,2006-09-17,12.1604166666667,24
Belisario,2006-09-18,13.6591304347826,23
Belisario,2006-09-19,13.695,24
Belisario,2006-09-20,15.09125,24
Belisario,2006-09-21,14.5954166666667,24
Belisario,2006-09-22,15.3758333333333,24
Belisario,2006-09-23,15.2379166666667,24
Belisario,2006-09-24,13.6991666666667,24
Belisario,2006-09-25,14.8416666666667,24
Belisario,2006-09-26,14.5458333333333,24
Belisario,2006-09-27,13.93125,24
Belisario,2006-09-28,14.69,24
Belisario,2006-09-29,16.12375,24
Belisario,2006-09-30,15.1783333333333,24
Belisario,2006-10-01,15.0641666666667,24
Belisario,2006-10-02,13.6375,24
Belisario,2006-10-03,14.10125,24
Belisario,2006-10-04,15.3347826086957,23
Belisario,2006-10-05,16.36,24
Belisario,2006-10-06,16.005,24
Belisario,2006-10-07,15.86375,24
Belisario,2006-10-08,14.9608333333333,24
Belisario,2006-10-09,15.7020833333333,24
Belisario,2006-10-10,14.7591666666667,24
Belisario,2006-10-11,13.1766666666667,24
Belisario,2006-10-12,12.58,24
Belisario,2006-10-13,12.195833333333301,24
Belisario,2006-10-14,11.3970833333333,24
Belisario,2006-10-15,12.1583333333333,24
Belisario,2006-10-16,12.7845833333333,24
Belisario,2006-10-17,11.6066666666667,24
Belisario,2006-10-18,12.1720833333333,24
Belisario,2006-10-19,13.2595833333333,24
Belisario,2006-10-20,13.3165217391304,23
Belisario,2006-10-21,13.8304166666667,24
Belisario,2006-10-22,14.3154166666667,24
Belisario,2006-10-23,14.2916666666667,24
Belisario,2006-10-24,13.6125,24
Belisario,2006-10-25,14.415,24
