estacion,fecha,obs_temp,n_horas_validas,era5_temp,merra2_temp
Carapungo,2013-06-24,14.6554166666667,24,15.621615416666693,17.514876250000018
Carapungo,2013-06-25,15.19125,24,15.05339708333336,17.451554958333357
Carapungo,2013-06-26,15.5470833333333,24,15.49731958333335,17.316204291666693
Carapungo,2013-06-27,14.6820833333333,24,15.354308333333355,17.02794666666669
Carapungo,2013-06-28,14.33,24,14.67472166666669,17.68280066666669
Carapungo,2013-06-29,14.02375,24,13.656973333333356,17.186299833333354
Carapungo,2013-06-30,13.1758333333333,24,13.373428333333356,16.067791208333357
Carapungo,2013-07-01,14.69125,24,14.293878750000028,16.81700550000002
Carapungo,2013-07-02,14.06125,24,14.399103750000023,16.974429041666692
Carapungo,2013-07-03,13.1141666666667,24,13.43610041666669,16.52122275000002
Carapungo,2013-07-04,13.72625,24,13.401521250000023,16.531509625000027
Carapungo,2013-07-05,14.09625,24,14.225362500000022,17.245055125000018
Carapungo,2013-07-06,14.6670833333333,24,15.52908625000002,17.502350083333354
Carapungo,2013-07-07,15.25375,24,15.466098333333354,17.24358783333336
Carapungo,2013-07-08,15.1570833333333,24,15.300945833333357,17.257108291666693
Carapungo,2013-07-09,14.3225,24,15.472260000000018,17.072882583333357
Carapungo,2013-07-10,13.54875,24,14.33203041666669,16.88104525000002
Carapungo,2013-07-11,14.0991666666667,24,14.465143333333351,17.333603250000028
Carapungo,2013-07-12,14.0129166666667,24,14.048352916666694,16.70919054166669
Carapungo,2013-07-13,14.5254166666667,24,15.13241500000002,17.225249208333356
Carapungo,2013-07-14,14.9595833333333,24,15.396111250000017,17.135040583333357
Carapungo,2013-07-15,15.7479166666667,24,15.453935833333356,17.753311458333354
Carapungo,2013-07-16,15.6316666666667,24,16.022875000000024,17.581955250000025
Carapungo,2013-07-17,13.5568181818182,22,15.55792833333336,17.21249416666669
Carapungo,2013-07-18,13.9558333333333,24,14.412032083333356,17.420100083333356
Carapungo,2013-07-19,14.0347619047619,21,13.887858750000024,17.363261250000026
Carapungo,2013-07-20,13.9978260869565,23,14.716912916666688,17.000522833333353
Carapungo,2013-07-21,14.3075,24,15.386477916666692,17.256476333333357
Carapungo,2013-07-22,14.6279166666667,24,14.841796250000025,17.29993854166669
Carapungo,2013-07-23,15.7345833333333,24,15.732041250000025,17.434973583333353
Carapungo,2013-07-24,15.7339130434783,23,16.013121250000026,17.931860833333356
Carapungo,2013-07-25,16.0908333333333,24,16.386102916666683,17.29134133333336
Carapungo,2013-07-26,16.1541666666667,24,16.818004166666686,17.573949375000023
Carapungo,2013-07-27,15.7545833333333,24,16.50706625000002,17.70653054166669
Carapungo,2013-07-28,15.89375,24,15.588190416666691,17.135344458333357
Carapungo,2013-07-29,15.2083333333333,24,15.609865000000026,17.127015666666686
Carapungo,2013-07-30,14.8120833333333,24,14.88195375000002,17.11039633333335
Carapungo,2013-07-31,14.2883333333333,24,14.003207083333358,16.94210841666669
Carapungo,2013-08-01,14.2258333333333,24,14.424600833333358,17.168825958333354
Carapungo,2013-08-02,14.9208333333333,24,15.51937875000002,17.38727079166669
Carapungo,2013-08-03,14.5920833333333,24,16.07902458333335,17.109892708333355
Carapungo,2013-08-04,15.9691666666667,24,16.086982500000023,17.684818583333357
Carapungo,2013-08-05,15.26,22,15.531413750000022,17.67848483333335
Carapungo,2013-08-06,14.6425,24,15.610241250000024,17.425074583333352
Carapungo,2013-08-07,14.931,20,14.99133875000002,17.354920958333352
Carapungo,2013-08-08,14.11125,24,13.457286250000024,16.86059608333336
Carapungo,2013-08-09,15.16125,24,14.184118750000025,17.331480833333355
Carapungo,2013-08-10,13.7679166666667,24,14.067716666666696,16.74089591666669
Carapungo,2013-08-11,13.6916666666667,24,14.282952916666687,17.04207891666669
Carapungo,2013-08-12,14.1969565217391,23,14.430690416666692,17.45578912500002
Carapungo,2013-08-13,15.3733333333333,24,14.841761666666695,17.686882375000025
Carapungo,2013-08-14,15.84625,24,15.72598625000002,17.066381125000024
Carapungo,2013-08-15,14.6220833333333,24,15.84437250000002,17.75748083333336
Carapungo,2013-08-16,14.4595833333333,24,15.635643333333354,17.814528375000023
Carapungo,2013-08-17,14.14875,24,14.413465833333357,17.547710666666696
Carapungo,2013-08-18,13.9529166666667,24,14.94106583333336,17.134409916666684
Carapungo,2013-08-19,14.4808695652174,23,14.248021666666688,17.163224791666686
Carapungo,2013-08-20,15.5104166666667,24,14.910089583333358,17.83743183333336
Carapungo,2013-08-21,15.1520833333333,24,15.575451666666682,17.513110125000022
Carapungo,2013-08-22,14.5754166666667,24,14.917575833333355,17.79819650000002
