"","estacion","fecha","temp_media_diaria","n_horas_validas"
"221","Belisario",2004-08-22,13.5304166666667,24
"222","Belisario",2004-08-23,13.5654166666667,24
"223","Belisario",2004-08-24,13.6054166666667,24
"224","Belisario",2004-08-25,11.1708333333333,24
"225","Belisario",2004-08-26,11.7804166666667,24
"226","Belisario",2004-08-27,12.5508333333333,24
"227","Belisario",2004-08-28,11.8620833333333,24
"228","Belisario",2004-08-29,13.1341666666667,24
"229","Belisario",2004-08-30,13.6770833333333,24
"230","Belisario",2004-08-31,13.16,24
"231","Belisario",2004-09-01,13.9016666666667,24
"232","Belisario",2004-09-02,14.2679166666667,24
"233","Belisario",2004-09-03,13.96625,24
"234","Belisario",2004-09-04,12.2195833333333,24
"235","Belisario",2004-09-05,12.24125,24
"236","Belisario",2004-09-06,11.1809090909091,22
"237","Belisario",2004-09-07,11.0358333333333,24
"238","Belisario",2004-09-08,9.81458333333333,24
"239","Belisario",2004-09-09,10.19625,24
"240","Belisario",2004-09-10,12.2716666666667,24
"241","Belisario",2004-09-11,12.61625,24
"242","Belisario",2004-09-12,13.0979166666667,24
"243","Belisario",2004-09-13,12.8366666666667,24
"244","Belisario",2004-09-14,11.2616666666667,24
"245","Belisario",2004-09-15,12.4017391304348,23
"246","Belisario",2004-09-16,13.0283333333333,24
"247","Belisario",2004-09-17,12.1470833333333,24
"248","Belisario",2004-09-18,11.9683333333333,24
"249","Belisario",2004-09-19,11.5054166666667,24
"250","Belisario",2004-09-20,12.4070833333333,24
"251","Belisario",2004-09-21,12.8166666666667,24
"252","Belisario",2004-09-22,14.1933333333333,24
"253","Belisario",2004-09-23,12.7275,24
"254","Belisario",2004-09-24,13.0054166666667,24
"255","Belisario",2004-09-25,11.4279166666667,24
"256","Belisario",2004-09-26,12.8183333333333,24
"257","Belisario",2004-09-27,12.67875,24
"258","Belisario",2004-09-28,11.3116666666667,24
"259","Belisario",2004-09-29,11.30625,24
"260","Belisario",2004-09-30,11.93,24
"261","Belisario",2004-10-01,13.5629166666667,24
"262","Belisario",2004-10-02,13.4954166666667,24
"263","Belisario",2004-10-03,12.43,24
"264","Belisario",2004-10-04,12.5008333333333,24
"265","Belisario",2004-10-05,12.1908333333333,24
"266","Belisario",2004-10-06,10.9318181818182,22
"267","Belisario",2004-10-07,11.2279166666667,24
"268","Belisario",2004-10-08,12.9991666666667,24
"269","Belisario",2004-10-09,13.1704166666667,24
"270","Belisario",2004-10-10,12.6725,24
"271","Belisario",2004-10-11,12.2445833333333,24
"272","Belisario",2004-10-12,11.71,24
"273","Belisario",2004-10-13,11.88375,24
"274","Belisario",2004-10-14,13.3720833333333,24
"275","Belisario",2004-10-15,14.0575,24
"276","Belisario",2004-10-16,13.24875,24
"277","Belisario",2004-10-17,11.9179166666667,24
"278","Belisario",2004-10-18,12.0733333333333,24
"279","Belisario",2004-10-19,12.5070833333333,24
"280","Belisario",2004-10-20,11.2425,24
"281","Belisario",2004-10-21,11.1941666666667,24
"282","Belisario",2004-10-22,10.39875,24
"283","Belisario",2004-10-23,9.90625,24
"284","Belisario",2004-10-24,12.1395833333333,24
"285","Belisario",2004-10-25,10.875,24
"286","Belisario",2004-10-26,11.44875,24
"287","Belisario",2004-10-27,10.1195833333333,24
"288","Belisario",2004-10-28,10.57125,24
"289","Belisario",2004-10-29,10.7733333333333,24
"290","Belisario",2004-10-30,12.2995833333333,24
"291","Belisario",2004-10-31,13.24,24
"292","Belisario",2004-11-01,14.1666666666667,24
"293","Belisario",2004-11-02,12.6254166666667,24
"294","Belisario",2004-11-03,11.4145833333333,24
"295","Belisario",2004-11-04,12.3604166666667,24
"296","Belisario",2004-11-05,12.4225,24
"297","Belisario",2004-11-06,11.535,24
"298","Belisario",2004-11-07,12.64375,24
"299","Belisario",2004-11-08,11.11,22
"300","Belisario",2004-11-09,11.1408333333333,24
"301","Belisario",2004-11-10,10.9413636363636,22
"302","Belisario",2004-11-11,11.175652173913,23
"303","Belisario",2004-11-12,11.3341666666667,24
"304","Belisario",2004-11-13,11.3108333333333,24
"305","Belisario",2004-11-14,11.4579166666667,24
"306","Belisario",2004-11-15,12.2566666666667,24
"307","Belisario",2004-11-16,12.1054166666667,24
"308","Belisario",2004-11-17,11.22375,24
"309","Belisario",2004-11-18,11.15875,24
"310","Belisario",2004-11-19,11.2295833333333,24
"311","Belisario",2004-11-20,13.0241666666667,24
"312","Belisario",2004-11-21,13.5929166666667,24
"313","Belisario",2004-11-22,13.3504166666667,24
"314","Belisario",2004-11-23,13.645,24
"315","Belisario",2004-11-24,12.2575,24
"316","Belisario",2004-11-25,10.3791666666667,24
"317","Belisario",2004-11-26,10.8545833333333,24
"318","Belisario",2004-11-27,12.38125,24
"319","Belisario",2004-11-28,11.5645833333333,24
"320","Belisario",2004-11-29,11.8991666666667,24
"321","Belisario",2004-11-30,11.9991666666667,24
"322","Belisario",2004-12-01,11.48125,24
"323","Belisario",2004-12-02,12.2108333333333,24
"324","Belisario",2004-12-03,13.0858333333333,24
"325","Belisario",2004-12-04,12.9645833333333,24
"326","Belisario",2004-12-05,12.4120833333333,24
"327","Belisario",2004-12-06,11.5795833333333,24
"328","Belisario",2004-12-07,12.7391666666667,24
"329","Belisario",2004-12-08,12.2716666666667,24
"330","Belisario",2004-12-09,12.2677272727273,22
"331","Belisario",2004-12-10,12.41875,24
"332","Belisario",2004-12-11,11.9,24
"333","Belisario",2004-12-12,11.8425,24
"334","Belisario",2004-12-13,12.1316666666667,24
"335","Belisario",2004-12-14,11.7404166666667,24
"336","Belisario",2004-12-15,10.4066666666667,24
"337","Belisario",2004-12-16,11.0666666666667,24
"338","Belisario",2004-12-17,10.42375,24
"339","Belisario",2004-12-18,12.6191666666667,24
"340","Belisario",2004-12-19,12.6383333333333,24
"341","Belisario",2004-12-20,13.07625,24
"342","Belisario",2004-12-21,12.0991666666667,24
"343","Belisario",2004-12-22,13.0941666666667,24
"344","Belisario",2004-12-23,12.9025,24
"345","Belisario",2004-12-24,11.17,24
"346","Belisario",2004-12-25,11.3570833333333,24
"347","Belisario",2004-12-26,11.645,24
"348","Belisario",2004-12-27,10.9329166666667,24
"349","Belisario",2004-12-28,10.84625,24
"350","Belisario",2004-12-29,11.1883333333333,24
"351","Belisario",2004-12-30,11.3039130434783,23
"352","Belisario",2004-12-31,12.8141666666667,24
"353","Belisario",2005-01-01,12.7375,24
"354","Belisario",2005-01-02,12.2170833333333,24
"355","Belisario",2005-01-03,12.8279166666667,24
"356","Belisario",2005-01-04,11.9395833333333,24
"357","Belisario",2005-01-05,13.1875,24
"358","Belisario",2005-01-06,12.4966666666667,24
"359","Belisario",2005-01-07,12.3516666666667,24
"360","Belisario",2005-01-08,12.5125,24
"361","Belisario",2005-01-09,13.11625,24
"362","Belisario",2005-01-10,13.20375,24
"363","Belisario",2005-01-11,13.3075,24
"364","Belisario",2005-01-12,13.5095833333333,24
"365","Belisario",2005-01-13,13.4745833333333,24
"366","Belisario",2005-01-14,13.16125,24
"367","Belisario",2005-01-15,11.1029166666667,24
"368","Belisario",2005-01-16,11.4375,24
"369","Belisario",2005-01-17,10.6720833333333,24
"370","Belisario",2005-01-18,11.7991666666667,24
"371","Belisario",2005-01-19,11.6225,24
"372","Belisario",2005-01-20,10.6545833333333,24
"373","Belisario",2005-01-21,11.9179166666667,24
"374","Belisario",2005-01-22,11.76625,24
"375","Belisario",2005-01-23,11.8441666666667,24
"376","Belisario",2005-01-24,11.2620833333333,24
"377","Belisario",2005-01-25,10.9416666666667,24
"378","Belisario",2005-01-26,12.7104166666667,24
"379","Belisario",2005-01-27,13.5475,24
"380","Belisario",2005-01-28,13.38875,24
"381","Belisario",2005-01-29,12.5970833333333,24
"382","Belisario",2005-01-30,10.76375,24
"383","Belisario",2005-01-31,12.9716666666667,24
"384","Belisario",2005-02-01,13.09625,24
"385","Belisario",2005-02-02,12.9405263157895,19
"386","Belisario",2005-02-03,12.7536363636364,22
"387","Belisario",2005-02-04,14.3433333333333,24
"388","Belisario",2005-02-05,14.55,24
"389","Belisario",2005-02-06,13.7283333333333,24
"390","Belisario",2005-02-07,12.8620833333333,24
"391","Belisario",2005-02-08,11.6195833333333,24
"392","Belisario",2005-02-09,13.0395833333333,24
"393","Belisario",2005-02-10,12.84,24
"394","Belisario",2005-02-11,11.0679166666667,24
"395","Belisario",2005-02-12,9.86583333333333,24
"396","Belisario",2005-02-13,12.9725,24
"397","Belisario",2005-02-14,12.4304166666667,24
"398","Belisario",2005-02-15,10.0704166666667,24
"399","Belisario",2005-02-16,9.805,24
"400","Belisario",2005-02-17,11.5629166666667,24
"401","Belisario",2005-02-18,13.89625,24
"402","Belisario",2005-02-19,12.8725,24
"403","Belisario",2005-02-20,12.8629166666667,24
"404","Belisario",2005-02-21,12.5325,24
"405","Belisario",2005-02-22,13.8770833333333,24
"406","Belisario",2005-02-23,13.6316666666667,24
"407","Belisario",2005-02-24,14.6016666666667,24
"408","Belisario",2005-02-25,14.2879166666667,24
"409","Belisario",2005-02-26,13.9008333333333,24
"410","Belisario",2005-02-27,13.23625,24
"411","Belisario",2005-02-28,11.5804166666667,24
"412","Belisario",2005-03-01,13.0954166666667,24
"413","Belisario",2005-03-02,13.7925,24
"414","Belisario",2005-03-03,12.8033333333333,24
"415","Belisario",2005-03-04,10.45875,24
"416","Belisario",2005-03-05,12.6079166666667,24
"417","Belisario",2005-03-06,12.1083333333333,24
"418","Belisario",2005-03-07,12.1345833333333,24
"419","Belisario",2005-03-08,13.0258333333333,24
"420","Belisario",2005-03-09,12.7570833333333,24
"421","Belisario",2005-03-10,12.3679166666667,24
"422","Belisario",2005-03-11,14.8458333333333,24
"423","Belisario",2005-03-12,13.6716666666667,24
"424","Belisario",2005-03-13,13.7216666666667,24
"425","Belisario",2005-03-14,13.32125,24
"426","Belisario",2005-03-15,13.4575,24
"427","Belisario",2005-03-16,12.8429166666667,24
"428","Belisario",2005-03-17,13.5877272727273,22
